id,deal_id,type,title,description,source,current_status_id,created_at,updated_at,owner_individual_id,tenant_id,account_id
162,1,Job,Mastercard - Lead Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:25:38+00,,1,150
163,1,Job,Kargo - Senior Javascript Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:25:44+00,,1,151
164,1,Job,Evolution IQ - Solutions Engineer,,manual,5,2025-11-11 11:22:46+00,2025-11-11 17:36:40+00,,1,152
165,1,Job,Substack - Software Engineer (Payments),,manual,5,2025-11-11 11:22:46+00,2025-11-11 17:36:54+00,,1,153
166,1,Job,"Okta - Senior Software Engineer, Core Identity (Auth0)",,manual,1,2025-11-11 19:25:09+00,2025-11-11 19:25:09+00,,1,64
167,1,Job,"Sage - Software Engineer, Data & Integrations",,manual,1,2025-11-11 19:30:34+00,2025-11-11 19:30:34+00,,1,154
168,1,Job,"Firsthand - Senior Software Engineer, Web Fullstack",,manual,1,2025-11-11 19:37:33+00,2025-11-11 19:37:33+00,,1,155
170,1,Job,"Notion - Software Engineer, Product Infrastructure",DEI heavy,manual,1,2025-11-11 19:53:48+00,2025-11-11 19:53:48+00,,1,157
171,1,Job,Titan - Principal Software Engineer - Product/AI,,manual,1,2025-11-11 20:02:29+00,2025-11-11 20:02:29+00,,1,158
172,1,Job,Fortify - Fullstack Engineer,,manual,1,2025-11-11 20:09:56+00,2025-11-11 20:09:56+00,,1,159
173,1,Job,Bridge Health AI - Full Stack Product Engineer,,manual,1,2025-11-11 20:12:43+00,2025-11-11 20:12:43+00,,1,
175,1,Job,EliseAI - Senior Software Engineer (Full Stack),,manual,1,2025-11-11 21:27:03+00,2025-11-11 21:27:03+00,,1,162
176,1,Job,Normal Computing - Software Engineer,,manual,1,2025-11-11 22:22:38+00,2025-11-11 22:22:38+00,,1,163
177,1,Job,Nominal - Software Engineer Fullstack,,manual,1,2025-11-11 22:33:44+00,2025-11-11 22:33:44+00,,1,164
178,1,Job,TechTree - Backend Software Engineer,,manual,1,2025-11-11 23:12:09+00,2025-11-11 23:12:09+00,,1,165
179,1,Job,Valon - Senior Software Engineer,,manual,1,2025-11-12 00:32:26+00,2025-11-12 00:32:26+00,,1,166
